% 1. Title: Adversarial Recognition MNIST
% 
% 2. Sources:
%      (a) Creator: Melanie Ducoffe
%      (b) Date: March, 25, 2017
% 
@RELATION adversarial_fisher

@ATTRIBUTE pred0  NUMERIC
@ATTRIBUTE pred_min  NUMERIC
@ATTRIBUTE pred_max  NUMERIC
@ATTRIBUTE model_max  NUMERIC
@ATTRIBUTE ensemble_max  NUMERIC
@ATTRIBUTE class        {0, 1}
@DATA
0.009054,-0.00545442,0.00705743,0.999993,0.992936,0
0.00180004,-0.00118733,0.00134826,0.999997,0.998649,0
0.357008,-0.219916,0.277611,0.999993,0.722382,0
0.00870536,-0.00529244,0.00679058,0.999996,0.993205,0
0.130485,-0.0919451,0.0925866,0.999997,0.907411,0
0.0503476,-0.029501,0.0398508,0.999994,0.960143,0
0.0479234,-0.0318848,0.0356621,0.999995,0.964332,0
0.0622183,-0.0426467,0.0452687,0.999995,0.954726,0
0.280863,-0.172832,0.217943,0.999987,0.782044,0
0.0167705,-0.0117877,0.0119285,0.999994,0.988065,0
1.65316e-08,-3.18749e-09,1.61546e-08,1.0,1.0,0
0.243211,-0.170496,0.173424,0.999992,0.826568,0
0.00104789,-0.000672063,0.000798702,0.999995,0.999196,0
0.000121007,-3.52123e-05,0.00010848,0.999994,0.999886,0
0.0297621,-0.013596,0.0243056,0.999997,0.975691,0
0.00445782,-0.00301429,0.00327623,0.999989,0.996713,0
0.0540037,-0.0380768,0.0382954,0.999991,0.961695,0
0.198699,-0.131874,0.148286,0.999995,0.851709,0
0.0164871,-0.00762901,0.0137565,0.999991,0.986235,0
0.0036752,-0.00244055,0.00274283,0.999993,0.99725,0
0.0584705,-0.041043,0.0416417,0.999992,0.958351,0
0.488312,-0.339687,0.350716,0.99999,0.649274,0
0.646509,-0.453455,0.4608,0.999985,0.539185,0
0.00210185,-0.00141439,0.00155091,0.999991,0.99844,0
0.000536718,-0.000274067,0.000445426,0.999994,0.999548,0
0.0489523,-0.0339512,0.0352435,0.999977,0.964734,0
0.000697971,-0.000258741,0.000612915,0.999992,0.999379,0
0.47903,-0.338592,0.338859,0.999996,0.661137,0
0.0436344,-0.0305147,0.0311837,0.999992,0.968809,0
0.00696375,-0.00322072,0.0059582,0.999996,0.994038,0
0.482563,-0.339384,0.343046,0.999988,0.656943,0
0.0877951,-0.0493903,0.0711849,0.999989,0.928804,0
0.00672115,-0.00290668,0.00564808,0.999965,0.994317,0
0.00982463,-0.00499096,0.00807446,0.999992,0.991918,0
1.23464,-0.786692,0.943117,0.999992,0.786694,0
0.208839,-0.147279,0.148062,0.999999,0.851937,0
0.00612928,-0.00309683,0.00495332,0.999992,0.995039,0
0.181297,-0.110494,0.14197,0.999991,0.858021,0
0.472556,-0.195997,0.400378,0.999989,0.599611,0
0.00332219,-0.00199352,0.00261486,0.999987,0.997373,0
0.094523,-0.0471356,0.0775012,0.999992,0.92249,0
0.000651001,-0.000434279,0.000483751,0.999995,0.999511,0
0.000107118,-7.19179e-05,7.90358e-05,0.999996,0.999917,0
0.24671,-0.162235,0.185432,0.999993,0.814561,0
0.0549067,-0.0200638,0.0472102,0.999996,0.952786,0
0.0746831,-0.0507499,0.0547528,0.999994,0.945241,0
0.0565351,-0.0267012,0.0481392,0.999988,0.951849,0
0.612637,-0.376935,0.473642,0.999989,0.526348,0
0.0031522,-0.00220028,0.00225681,0.999992,0.997735,0
0.026111,-0.0115267,0.0218909,0.999992,0.978101,0
0.306536,-0.21463,0.218845,0.999995,0.781151,0
1.44729e-05,-1.02156e-05,1.0252e-05,1.0,0.99999,0
0.000153749,-0.000107372,0.00011003,0.99999,0.99988,0
0.0426829,-0.0196367,0.0359721,0.999989,0.964017,0
0.482315,-0.337108,0.344857,0.999982,0.655125,0
0.503171,-0.266581,0.404014,0.999997,0.595983,0
0.131904,-0.0916428,0.0948347,0.999992,0.905157,0
0.45788,-0.322025,0.325496,0.999996,0.6745,0
0.0525553,-0.021115,0.0450846,0.99999,0.954906,0
0.132644,-0.0898121,0.0974189,0.999986,0.902567,0
0.32575,-0.229851,0.230827,0.999992,0.769164,0
0.126538,-0.0893528,0.0895991,0.999991,0.910392,0
3.65232e-05,-1.85068e-05,3.03388e-05,0.999995,0.999965,0
0.00186204,-0.00109771,0.00147337,0.999993,0.99852,0
0.223231,-0.157664,0.158033,0.999991,0.841958,0
0.0313964,-0.0201173,0.0239881,0.999994,0.976006,0
0.0298457,-0.0209287,0.0212769,0.99999,0.978713,0
0.307747,-0.216629,0.218582,0.999996,0.781414,0
0.395369,-0.199793,0.328345,0.999993,0.671648,0
0.448261,-0.316953,0.316984,0.999993,0.683008,0
0.00240207,-0.00163034,0.00176167,0.999995,0.998233,0
0.0294737,-0.0095635,0.0260745,0.999989,0.973915,0
0.0422589,-0.017925,0.0348878,0.999992,0.965105,0
0.000483963,-0.00024654,0.000405848,0.999996,0.99959,0
0.00710229,-0.00428556,0.00553077,0.999988,0.994457,0
0.0217298,-0.0152896,0.0154403,0.999972,0.984531,0
0.0273957,-0.0127838,0.0233107,0.999994,0.976683,0
0.000895878,-0.000549482,0.000694215,0.999995,0.9993,0
0.000956185,-0.000629026,0.000715315,0.999992,0.999277,0
0.615293,-0.295897,0.516487,0.999995,0.483508,0
0.0022694,-0.00148789,0.00170541,0.999983,0.998277,0
0.0206038,-0.00861763,0.0169094,1.0,0.98309,0
0.00163073,-0.000592211,0.00142252,0.999993,0.998571,0
0.748879,-0.490611,0.561523,0.999998,0.490612,0
