% 1. Title: Ensemble Adversarial Recognition Goodfellow CIFAR 100 
% 
% 2. Sources:
%      (a) Creator: Melanie Ducoffe
%      (b) Date: March, 16, 2017
% 
@RELATION adversarial_fisher

@ATTRIBUTE pred0  NUMERIC
@ATTRIBUTE class        {0, 1}
@DATA
4.64896e-08,1
9.50526e-24,1
5.75485e-09,1
0.052966,1
3.87479e-09,1
4.02805e-12,1
2.30223e-17,1
0.00444371,1
6.79327e-18,1
2.32099e-05,1
2.78517e-07,1
5.58156e-18,1
1.20792e-05,1
4.95549e-15,1
6.91346e-06,1
5.28514e-19,1
2.26683e-10,1
0.000224712,1
1.3589e-18,1
0.010545,1
7.39888e-13,1
3.55689e-09,1
5.31394e-07,1
3.3593e-05,1
0.00142283,1
1.6985e-07,1
3.03246e-09,1
6.8967e-13,1
9.36683e-13,1
0.00205577,1
8.92498e-23,1
4.90004e-13,1
0.00881837,1
6.26409e-25,1
1.3977e-08,1
1.37049e-13,1
2.96884e-16,1
0.00212549,1
0.00293185,1
0.00707693,1
3.89699e-10,1
0.00203389,1
2.46825e-09,1
2.66888e-11,1
0.0247496,1
0.0849526,1
4.59607e-10,1
0.000132727,1
2.1988e-07,1
1.11028e-18,1
0.0363948,1
7.46054e-14,1
0.00176442,1
0.00282109,1
5.59665e-14,1
0.000194864,1
2.1848e-06,1
0.0372297,1
1.35137e-12,1
1.11665e-22,1
0.00158078,1
4.48241e-19,1
0.00428105,1
4.99279e-07,1
5.82685e-23,1
9.28232e-17,1
1.80201e-15,1
0.00540031,1
5.68649e-15,1
1.25144e-07,1
2.94451e-07,1
0.0188268,1
4.4653e-08,1
0.0139683,1
8.84819e-27,1
5.96366e-06,1
4.63195e-24,1
3.7026e-08,1
1.13404e-19,1
0.00548345,1
0.0584979,1
3.13445e-07,1
2.03253e-11,1
2.22954e-05,1
0.00206493,1
8.42928e-07,1
5.15907e-13,1
0.000302875,1
6.35699e-23,1
0.000270895,1
0.0597604,1
0.000742509,1
1.96909e-05,1
0.000210098,1
8.01227e-13,1
2.31165e-15,1
9.56509e-09,1
1.0883e-10,1
2.01711e-26,1
4.21844e-12,1
1.57848e-17,1
0.195473,1
5.66636e-05,1
4.07482e-26,1
1.99226e-09,1
9.83909e-08,1
2.62395e-20,1
1.89312e-15,1
0.0398148,1
1.68846e-20,1
0.0285169,1
7.82737e-12,1
0.000213982,1
6.69829e-22,1
1.11552e-07,1
0.00980949,1
1.16981e-25,1
5.29477e-14,1
4.01949e-07,1
1.2096e-05,1
0.0160812,1
3.92956e-15,1
1.30772e-18,1
9.41126e-24,1
9.97809e-18,1
2.75223e-16,1
1.44239e-07,1
0.00645849,1
6.20036e-21,1
1.74834e-11,1
1.19933e-23,1
0.0154749,1
1.43259e-05,1
3.00529e-11,1
3.48175e-25,1
4.23888e-06,1
5.38497e-05,1
4.65055e-05,1
6.29338e-19,1
3.18786e-17,1
1.03676e-14,1
3.91914e-12,1
0.0247991,1
0.0210863,1
3.5394e-21,1
0.00973761,1
0.00167416,1
5.58171e-08,1
6.8452e-19,1
2.97051e-13,1
0.000593213,1
0.00112277,1
4.58911e-09,1
4.19726e-15,1
2.81415e-21,1
0.00181654,1
1.62065e-06,1
1.85164e-18,1
0.068584,1
